2026-06-23 | 12:22 | ESP32_GH_01 | Mode=AUTO | Temp=0.0 Fan=OFF | Hum=0.0 Mister=ON | Light=175.0 Shade=OFF LED=ON | Soil=0.0 Pump=ON | soil_temp=0.0
2026-06-23 | 13:40 | ESP32_GH_01 | Mode=MANUAL | Temp=0.0 Fan=OFF | Hum=0.0 Mister=OFF | Light=170.8333 Shade=OFF LED=OFF | Soil=0.0 Pump=OFF | soil_temp=0.0
2026-06-23 | 13:40 | ESP32_GH_01 | Mode=MANUAL | Temp=0.0 Fan=OFF | Hum=0.0 Mister=ON | Light=170.8333 Shade=OFF LED=ON | Soil=0.0 Pump=ON | soil_temp=0.0
2026-06-23 | 13:40 | ESP32_GH_01 | Mode=MANUAL | Temp=0.0 Fan=OFF | Hum=0.0 Mister=OFF | Light=170.8333 Shade=OFF LED=OFF | Soil=0.0 Pump=OFF | soil_temp=0.0
2026-06-23 | 13:40 | ESP32_GH_01 | Mode=AUTO | Temp=0.0 Fan=OFF | Hum=0.0 Mister=ON | Light=170.8333 Shade=OFF LED=ON | Soil=0.0 Pump=ON | soil_temp=0.0
2026-06-23 | 20:38 | ESP32_GH_01 | Mode=AUTO | Temp=0.0 Fan=OFF | Hum=86.5 Mister=OFF | Light=5.833333 Shade=OFF LED=ON | Soil=0.0 Pump=ON | soil_temp=29.0
2026-06-24 | 10:13 | ESP32_GH_01 | Mode=AUTO | Temp=34.6 Fan=ON | Hum=89.0 Mister=OFF | Light=132.0 Shade=OFF LED=ON | Soil=47.0 Pump=OFF | soil_temp=26.4
2026-06-24 | 10:13 | ESP32_GH_01 | Mode=AUTO | Temp=26.3 Fan=OFF | Hum=86.3 Mister=OFF | Light=301.1 Shade=OFF LED=ON | Soil=93.0 Pump=OFF | soil_temp=30.3
2026-06-24 | 10:13 | ESP32_GH_01 | Mode=AUTO | Temp=34.0 Fan=ON | Hum=59.6 Mister=ON | Light=488.6 Shade=OFF LED=ON | Soil=93.0 Pump=OFF | soil_temp=31.5
2026-06-24 | 10:13 | ESP32_GH_01 | Mode=AUTO | Temp=26.0 Fan=OFF | Hum=73.2 Mister=ON | Light=1192.1 Shade=ON LED=OFF | Soil=20.0 Pump=ON | soil_temp=29.6
2026-06-24 | 10:13 | ESP32_GH_01 | Mode=AUTO | Temp=31.2 Fan=OFF | Hum=86.6 Mister=OFF | Light=254.4 Shade=ON LED=ON | Soil=36.0 Pump=ON | soil_temp=30.4
2026-06-24 | 10:13 | ESP32_GH_01 | Mode=AUTO | Temp=31.9 Fan=OFF | Hum=81.2 Mister=OFF | Light=1250.4 Shade=ON LED=OFF | Soil=45.0 Pump=ON | soil_temp=30.0
